"","Farmtype","Stage","Source","mean","Sd","Sd.b","n","Se","Se.b","Farmtype2"
"1","Or","Seedling","Rice.herb",0.415,0.145663996924429,0.365,2,0.103,0.25809397513309,"Organic"
"2","Or","Seedling","Tour.herb",0.137,0.0608111831820431,0.331,2,0.043,0.234052344572747,"Organic"
"3","Or","Seedling","Detritivore",0.4475,0.205768073325285,0.406,2,0.1455,0.287085353161738,"Organic"
"4","Or","Tillering","Rice.herb",0.344571428571429,0.107383824267371,1.279,7,0.0405872705489325,0.483416560978802,"Organic"
"5","Or","Tillering","Tour.herb",0.272428571428571,0.105361057231562,1.643,7,0.0398227364722222,0.62099562915416,"Organic"
"6","Or","Tillering","Detritivore",0.383285714285714,0.167255009178315,1.373,7,0.0632164514022351,0.518945221441669,"Organic"
"7","Or","Flowering","Rice.herb",0.610333333333333,0.105543671845671,1.148,6,0.0430880236002741,0.468669037452515,"Organic"
"8","Or","Flowering","Tour.herb",0.169,0.0670552011405529,0.981,6,0.0273751712323412,0.40049157294505,"Organic"
"9","Or","Flowering","Detritivore",0.220833333333333,0.116883560292569,0.871,6,0.0477175136727713,0.355584260994025,"Organic"
"10","Or","Ripening","Rice.herb",0.8842,0.0391752472870307,0.888,5,0.017519703193833,0.397125672803963,"Organic"
"11","Or","Ripening","Tour.herb",0.0684,0.00642650760522385,0.811,5,0.00287402157263998,0.362690225950466,"Organic"
"12","Or","Ripening","Detritivore",0.047,0.0339558536926993,0.238,5,0.0151855194181826,0.10643683572899,"Organic"
"13","Cv","Seedling","Rice.herb",0.78,NA,0.185,1,NA,0.185,"Conventional"
"14","Cv","Seedling","Tour.herb",0.094,NA,0.136,1,NA,0.136,"Conventional"
"15","Cv","Seedling","Detritivore",0.126,NA,0.128,1,NA,0.128,"Conventional"
"16","Cv","Tillering","Rice.herb",0.552285714285714,0.17693192126325,1.124,7,0.0668739803787742,0.424832067662371,"Conventional"
"17","Cv","Tillering","Tour.herb",0.185285714285714,0.0592697626273698,1.106,7,0.0224018645968358,0.418028707148205,"Conventional"
"18","Cv","Tillering","Detritivore",0.262571428571429,0.118470611183895,1.071,7,0.0447776821232021,0.404799950592882,"Conventional"
"19","Cv","Flowering","Rice.herb",0.802166666666667,0.104187171315218,0.955,6,0.0425342345777035,0.389877117392989,"Conventional"
"20","Cv","Flowering","Tour.herb",0.0981666666666667,0.0362459193105468,0.797,6,0.0147973345948218,0.325373887499699,"Conventional"
"21","Cv","Flowering","Detritivore",0.0995,0.0680022058465753,0.475,6,0.0277617842846361,0.193917937970335,"Conventional"
"22","Cv","Ripening","Rice.herb",0.919428571428571,0.0248854518601876,1.218,7,0.00940581669793229,0.460360728125239,"Conventional"
"23","Cv","Ripening","Tour.herb",0.0598571428571429,0.00975412000863518,1.16,7,0.00368671082873255,0.438438788690704,"Conventional"
"24","Cv","Ripening","Detritivore",0.0207142857142857,0.0160697882760818,0.186,7,0.00607380905713911,0.0703013919797163,"Conventional"
